"Season_End_Year","Player","Nation","Pos","Age","Born","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","Gls","Ast","G_plus_A","G_minus_PK","PK","PKatt","CrdY","CrdR","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per_90","Ast_Per_90","G_plus_A_Per_90","G_minus_PK_Per_90","G_plus_A_minus_PK_Per_90","xG_Expected","npxG_Expected","xAG_Expected","npxG_plus_xAG_Expected","xG_Per_90","xAG_Per_90","xG_plus_xAG_Per_90","npxG_Per_90","npxG_plus_xAG_Per_90","Year","market_value_euro"
2020,"Sadio Mané","SEN","FW","27",1992,35,31,2747,30.5,18,7,25,18,0,0,3,0,159,128,286,0.59,0.23,0.82,0.59,0.82,13.2,13.2,6.6,19.8,0.43,0.22,0.65,0.43,0.65,2020,8.5e+07
2020,"Joël Matip","CMR","DF","27",1991,9,8,703,7.8,1,0,1,1,0,0,0,0,6,36,2,0.13,0,0.13,0.13,0.13,0.3,0.3,0,0.4,0.04,0,0.05,0.04,0.05,2020,1.8e+07
2020,"James Milner","ENG","MF,DF","33",1986,22,9,937,10.4,2,2,4,0,2,2,4,0,18,71,42,0.19,0.19,0.38,0,0.19,2.2,0.6,0.7,1.3,0.21,0.07,0.28,0.06,0.13,2020,3e+06
2020,"Takumi Minamino","JPN","FW,MF","24",1995,10,2,249,2.8,0,0,0,0,0,0,0,0,8,4,22,0,0,0,0,0,0.8,0.8,0,0.9,0.3,0.01,0.31,0.3,0.31,2020,1.2e+07
2020,"Takumi Minamino","JPN","FW,MF","24",1995,10,2,249,2.8,0,0,0,0,0,0,0,0,8,4,22,0,0,0,0,0,0.8,0.8,0,0.9,0.3,0.01,0.31,0.3,0.31,2020,1.2e+07
2020,"Divock Origi","BEL","FW","24",1995,28,7,717,8,4,1,5,4,0,0,1,0,37,12,90,0.5,0.13,0.63,0.5,0.63,1.8,1.8,0.8,2.6,0.22,0.1,0.32,0.22,0.32,2020,1.2e+07
2020,"Alex Oxlade-Chamberlain","ENG","MF,FW","25",1993,30,17,1485,16.5,4,1,5,4,0,0,1,0,48,97,95,0.24,0.06,0.3,0.24,0.3,2.8,2.8,1.1,3.9,0.17,0.06,0.24,0.17,0.24,2020,1.8e+07
2020,"Andrew Robertson","SCO","DF","25",1994,36,34,3111,34.6,2,12,14,2,0,0,2,0,149,219,277,0.06,0.35,0.41,0.06,0.41,1.8,1.8,7.5,9.3,0.05,0.22,0.27,0.05,0.27,2020,6.5e+07
2020,"Mohamed Salah","EGY","FW","27",1992,34,33,2876,32,19,10,29,16,3,3,1,0,105,91,347,0.59,0.31,0.91,0.5,0.81,19,16.6,7.8,24.5,0.59,0.25,0.84,0.52,0.77,2020,1e+08
2020,"Xherdan Shaqiri","SUI","FW,MF","27",1991,7,2,185,2.1,1,0,1,1,0,0,0,0,1,18,15,0.49,0,0.49,0.49,0.49,0.5,0.5,0.2,0.7,0.25,0.09,0.33,0.25,0.33,2020,1.2e+07
2020,"Virgil van Dijk","NED","DF","28",1991,38,38,3420,38,5,1,6,5,0,0,1,0,21,170,14,0.13,0.03,0.16,0.13,0.16,2.9,2.9,1.3,4.2,0.08,0.04,0.11,0.08,0.11,2020,5.5e+07
2020,"Georginio Wijnaldum","NED","MF","28",1990,37,35,2935,32.6,4,0,4,4,0,0,0,0,74,137,99,0.12,0,0.12,0.12,0.12,2.6,2.6,0.8,3.3,0.08,0.02,0.1,0.08,0.1,2020,3e+07
