Year,Squad,Age,Poss,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G_plus_A,G_minus_PK,PK,PKatt,CrdY,CrdR,PrgC_Progression,PrgP_Progression,Gls_Per_90,Ast_Per_90,G_plus_A_Per_90,G_minus_PK_Per_90,G_plus_A_minus_PK_Per_90,xG_Expected,npxG_Expected,xAG_Expected,npxG_plus_xAG_Expected,xG_Per_90,xAG_Per_90,xG_plus_xAG_Per_90,npxG_Per_90,npxG_plus_xAG_Per_90,Gls_mean,Gls_std,Gls_max,Gls_sum,Ast_mean,Ast_std,Ast_max,Ast_sum,xG_Expected_mean,xG_Expected_std,xG_Expected_max,xG_Expected_sum,xAG_Expected_mean,xAG_Expected_std,xAG_Expected_max,xAG_Expected_sum,market_value_euro_mean,market_value_euro_std,market_value_euro_max,market_value_euro_sum,attack_core_ratio,eng_player_ratio
2020,Manchester Utd,24.8,55.8,38,418,3420,38,65,43,108,55,10,14,73,0,926,1788,1.71,1.13,2.84,1.45,2.58,62.2,51.2,38.5,89.7,1.64,1.01,2.65,1.35,2.36,2.7083333333333335,5.094576542258202,17.0,65.0,1.6666666666666667,2.461294581006661,7.0,40.0,2.5875,4.388652610896702,19.2,62.1,1.4208333333333334,1.4791240553160148,5.0,34.1,28270833.333333332,24353813.720927224,90000000.0,678500000.0,0.08333333333333333,0.4166666666666667
2020,Newcastle Utd,26.5,39.0,38,418,3420,38,38,29,67,38,0,1,66,3,537,844,1.0,0.76,1.76,1.0,1.76,35.5,34.8,26.9,61.7,0.94,0.71,1.64,0.91,1.62,1.4761904761904763,1.6618979396776332,6.0,31.0,1.2857142857142858,1.3093073414159542,4.0,27.0,1.6142857142857143,1.8765089166549977,6.7,33.9,1.2238095238095237,1.1945311891720374,3.6,25.7,7833333.333333333,7232450.022871457,30000000.0,164500000.0,0.0,0.38095238095238093
2020,Norwich City,26.0,49.3,38,418,3420,38,25,18,43,23,2,2,68,3,673,1169,0.66,0.47,1.13,0.61,1.08,37.0,35.4,27.4,62.8,0.97,0.72,1.69,0.93,1.65,0.3333333333333333,0.5773502691896258,1.0,1.0,0.0,0.0,0.0,0.0,0.3666666666666667,0.35118845842842467,0.7,1.1,0.3666666666666667,0.5507570547286103,1.0,1.1,14000000.0,11532562.594670797,25000000.0,42000000.0,0.6666666666666666,0.6666666666666666
2020,Sheffield Utd,26.9,43.1,38,418,3420,38,36,25,61,35,1,1,63,2,493,1352,0.95,0.66,1.61,0.92,1.58,43.0,42.2,34.0,76.3,1.13,0.9,2.03,1.11,2.01,1.5,1.9056702094980706,6.0,30.0,1.25,1.3717065820970682,4.0,25.0,1.7899999999999998,2.2713084566529393,8.0,35.8,1.65,1.6516339597023624,5.3,33.0,5297500.0,5736964.055922555,22000000.0,105950000.0,0.05,0.55
2020,Southampton,25.9,48.9,38,418,3420,38,51,32,83,49,2,5,55,4,628,1335,1.34,0.84,2.18,1.29,2.13,56.1,52.1,36.4,88.5,1.48,0.96,2.43,1.37,2.33,2.2857142857142856,4.807731867969107,22.0,48.0,1.1428571428571428,1.314751470267833,4.0,24.0,2.2285714285714286,3.774141340377021,16.2,46.8,1.4571428571428573,1.630205946674048,6.8,30.6,10402380.952380951,8718091.479654193,30000000.0,218450000.0,0.047619047619047616,0.5238095238095238
2020,Tottenham,26.7,52.0,38,418,3420,38,56,39,95,53,3,4,84,3,768,1410,1.47,1.03,2.5,1.39,2.42,47.9,44.7,32.6,77.3,1.26,0.86,2.12,1.18,2.03,1.6521739130434783,4.040799826903916,18.0,38.0,1.0,1.5374122295716148,5.0,23.0,1.5086956521739132,3.0945572518504543,12.5,34.7,1.0260869565217392,1.180607467406022,3.5,23.6,20021739.13043478,23463936.671212524,120000000.0,460500000.0,0.08695652173913043,0.4782608695652174
2020,Watford,28.9,42.9,38,418,3420,38,35,21,56,28,7,8,80,3,578,1168,0.92,0.55,1.47,0.74,1.29,48.9,42.6,31.4,74.0,1.29,0.83,2.11,1.12,1.95,2.6666666666666665,1.1547005383792515,4.0,8.0,0.6666666666666666,1.1547005383792517,2.0,2.0,4.033333333333333,1.1060440015358042,5.2,12.1,1.5333333333333332,2.055075018906447,3.9,4.6,10666666.666666666,12423096.769056149,25000000.0,32000000.0,1.0,0.6666666666666666
2020,West Ham,27.4,44.1,38,418,3420,38,49,36,85,45,4,4,64,1,666,1377,1.29,0.95,2.24,1.18,2.13,48.6,45.4,36.7,82.2,1.28,0.97,2.24,1.2,2.16,2.409090909090909,2.684330029193077,10.0,53.0,1.8636363636363635,1.8846612565519705,5.0,41.0,2.3181818181818183,2.925851339457639,12.9,51.0,1.8318181818181818,1.3566016236788034,3.7,40.3,12193181.818181818,15929519.583334714,65000000.0,268250000.0,0.045454545454545456,0.36363636363636365
2020,Wolves,26.6,48.3,38,418,3420,38,49,34,83,45,4,4,61,2,858,1338,1.29,0.89,2.18,1.18,2.08,54.1,51.0,37.5,88.5,1.42,0.99,2.41,1.34,2.33,3.176470588235294,4.231360509895829,17.0,54.0,1.9411764705882353,2.680265570687309,9.0,33.0,3.8117647058823527,4.912341899865733,16.6,64.8,2.3058823529411767,2.502366526968845,7.9,39.2,22529411.76470588,14422714.927583952,45000000.0,383000000.0,0.058823529411764705,0.11764705882352941
2021,Arsenal,25.9,53.5,38,418,3420,38,53,38,91,47,6,6,49,5,758,1760,1.39,1.0,2.39,1.24,2.24,51.8,47.0,35.1,82.1,1.36,0.92,2.29,1.24,2.16,2.391304347826087,3.928209520828248,13.0,55.0,1.3478260869565217,1.2287723234696089,4.0,31.0,2.1739130434782608,3.310481617159263,11.7,50.0,1.2869565217391306,1.2469250716812748,4.4,29.6,20108695.652173914,14957482.561747491,65000000.0,462500000.0,0.08695652173913043,0.4782608695652174
