"Season_End_Year","player_name","Nation","Pos","Age","Born","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","Gls","Ast","G+A","G_minus_PK","PK","PKatt","CrdY","CrdR","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per","Ast_Per","G+A_Per","G_minus_PK_Per","G+A_minus_PK_Per","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","xG_Per","xAG_Per","xG+xAG_Per","npxG_Per","npxG+xAG_Per","Year","market_value_euro"
2021,"Patrick Bamford","ENG","FW","26",1993,38,37,3050,33.9,17,7,24,15,2,2,3,0,32,31,167,0.5,0.21,0.71,0.44,0.65,18.2,16.6,3.5,20.2,0.54,0.1,0.64,0.49,0.6,2021,1.6e+07
2021,"Gaetano Berardi","SUI","DF","31",1988,2,1,113,1.3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0.1,0.1,0,0.1,0.09,0,0.09,0.09,0.09,2021,NA
2021,"Ian Carlo Poveda","ENG","MF","20",2000,14,0,355,3.9,0,0,0,0,0,0,0,0,21,17,47,0,0,0,0,0,0.3,0.3,1.1,1.4,0.08,0.28,0.36,0.08,0.36,2021,NA
2021,"Kiko Casilla","ESP","GK","33",1986,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,NA
2021,"Liam Cooper","SCO","DF","28",1991,25,25,2185,24.3,1,0,1,1,0,0,4,1,12,88,1,0.04,0,0.04,0.04,0.04,1.8,1.8,0,1.8,0.08,0,0.08,0.08,0.08,2021,7e+06
2021,"Hélder Costa","ANG","MF,FW","26",1994,22,13,1156,12.8,3,3,6,3,0,0,0,0,47,28,84,0.23,0.23,0.47,0.23,0.47,2.2,2.2,0.6,2.8,0.17,0.04,0.22,0.17,0.22,2021,5e+06
2021,"Stuart Dallas","NIR","MF,DF","29",1991,38,38,3409,37.9,8,2,10,8,0,0,7,0,95,233,126,0.21,0.05,0.26,0.21,0.26,4.2,4.2,1.8,6.1,0.11,0.05,0.16,0.11,0.16,2021,4e+06
2021,"Leif Davis","ENG","DF","20",2000,2,0,33,0.4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,8e+05
2021,"Jack Harrison","ENG","MF,FW","23",1996,36,34,2847,31.6,8,8,16,8,0,0,2,0,108,98,307,0.25,0.25,0.51,0.25,0.51,5.8,5.8,6.5,12.4,0.18,0.21,0.39,0.18,0.39,2021,1.8e+07
2021,"Pablo Hernández","ESP","MF","35",1985,16,3,427,4.7,0,2,2,0,0,0,1,0,33,70,34,0,0.42,0.42,0,0.42,1.1,1.1,0.7,1.8,0.23,0.15,0.38,0.23,0.38,2021,NA
2021,"Niall Huggins","WAL","DF","19",2000,1,0,38,0.4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,NA
2021,"Mateusz Klich","POL","MF","30",1990,35,28,2393,26.6,4,5,9,2,2,2,6,0,70,184,152,0.15,0.19,0.34,0.08,0.26,3,1.4,3.4,4.9,0.11,0.13,0.24,0.05,0.18,2021,3e+06
2021,"Robin Koch","GER","DF,MF","24",1996,17,13,1132,12.6,0,0,0,0,0,0,1,0,8,49,3,0,0,0,0,0,0.7,0.7,0.1,0.8,0.06,0.01,0.07,0.06,0.07,2021,1.6e+07
2021,"Diego Llorente","ESP","DF","26",1993,15,14,1204,13.4,1,0,1,1,0,0,1,0,7,26,1,0.07,0,0.07,0.07,0.07,0.8,0.8,0.5,1.3,0.06,0.04,0.1,0.06,0.1,2021,1.8e+07
2021,"Illan Meslier","FRA","GK","20",2000,35,35,3150,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,2e+07
2021,"Kalvin Phillips","ENG","MF","24",1995,29,28,2428,27,1,2,3,1,0,0,10,0,13,137,14,0.04,0.07,0.11,0.04,0.11,0.5,0.5,3.4,3.9,0.02,0.13,0.15,0.02,0.15,2021,5e+07
