Player,Position,Nation,Age_2024,Value_2024_Euro,Base_Prediction_2024,Predicted_2025_Value_Euro,Growth_Factor,Growth_Percentage_2024_2025,Data_Source_Year
Ederson,GK,BRA,31,20000000.0,19768994.0,19642472.438400004,0.9936000000000001,-0.639999999999985,2024
Valentín Barco,"DF,FW",ARG,20,12000000.0,13856108.0,19641033.09,1.4175,41.75,2024
Alisson,GK,BRA,32,20000000.0,19538306.0,19413260.841600005,0.9936000000000001,-0.639999999999985,2024
Jordan Pickford,GK,ENG,30,18000000.0,17878988.0,18923120.8992,1.0584,5.840000000000001,2024
Tomáš Souček,MF,CZE,29,18000000.0,17720576.0,18755457.6384,1.0584,5.840000000000001,2024
Aaron Ramsdale,GK,ENG,26,16000000.0,15945819.0,18599203.281600002,1.1664,16.64000000000001,2024
Luis Sinisterra,"FW,MF",COL,25,15000000.0,15606232.0,18567171.184896003,1.1897280000000001,18.972800000000014,2024
Chris Richards,"DF,MF",USA,24,14000000.0,14452247.0,18355509.869760003,1.2700800000000003,27.00800000000003,2024
Taiwo Awoniyi,FW,NGA,27,16000000.0,16176768.0,18354937.457664,1.134648,13.464800000000011,2024
Dominic Calvert-Lewin,FW,ENG,27,16000000.0,16059148.0,18221480.159904003,1.134648,13.464800000000011,2024
Kevin De Bruyne,MF,BEL,33,20000000.0,19684900.0,18070738.2,0.918,-8.199999999999996,2024
Rico Henry,DF,ENG,27,15000000.0,15168288.0,17716863.749760006,1.1680200000000003,16.802000000000028,2024
Jacob Murphy,"FW,DF",ENG,29,16000000.0,16292391.0,17588743.967088003,1.079568,7.956800000000008,2024
Harry Wilson,FW,WAL,27,15000000.0,15379702.0,17450548.114896003,1.134648,13.464800000000011,2024
Ben Chilwell,DF,ENG,28,15000000.0,14798387.0,17284811.983740006,1.1680200000000003,16.802000000000028,2024
Dara O'Shea,DF,IRL,25,14000000.0,14017487.0,17167496.678640004,1.2247200000000003,22.472000000000026,2024
Lewis Cook,MF,ENG,27,15000000.0,15125011.0,16825062.2364,1.1124,11.240000000000006,2024
John McGinn,"MF,FW",SCO,30,16000000.0,15696715.0,16613403.156,1.0584,5.840000000000001,2024
Issa Diop,DF,FRA,27,14000000.0,14072511.0,16436974.298220003,1.1680200000000003,16.802000000000028,2024
Jack Harrison,"MF,FW",ENG,28,14000000.0,14128344.0,15716369.865600001,1.1124,11.240000000000006,2024
Mathias Jensen,MF,DEN,28,14000000.0,14095022.0,15679302.472800002,1.1124,11.240000000000006,2024
Cameron Archer,"FW,MF",ENG,23,12000000.0,12547089.0,15480498.031488003,1.2337920000000002,23.379200000000022,2024
Saša Lukić,MF,SRB,28,14000000.0,13657638.0,15192756.511200001,1.1124,11.240000000000006,2024
Kenny Tete,DF,NED,29,13000000.0,13631041.0,15148448.484120002,1.11132,11.132000000000009,2024
Matheus França,"MF,FW",BRA,20,10000000.0,10834478.0,14626545.3,1.35,35.00000000000001,2024
Tariq Lamptey,"DF,FW",GHA,24,11000000.0,11228575.0,14261188.536000004,1.2700800000000003,27.00800000000003,2024
Timothy Castagne,DF,BEL,29,13000000.0,12766427.0,14187585.653640002,1.11132,11.132000000000009,2024
Jakub Moder,"MF,DF",POL,25,12000000.0,11867161.0,13841856.590400001,1.1664,16.64000000000001,2024
Harry Maguire,DF,ENG,31,13000000.0,13222069.0,13794320.146320002,1.0432800000000002,4.328000000000021,2024
Thomas Partey,"MF,DF",GHA,31,14000000.0,13747859.0,13659872.702400003,0.9936000000000001,-0.639999999999985,2024
Ryan Yates,MF,ENG,27,12000000.0,12136540.0,13500687.096,1.1124,11.240000000000006,2024
Deivid Washington,"DF,FW",BRA,19,8000000.0,8927817.0,13391725.5,1.5,50.0,2024
Luke Shaw,DF,ENG,29,12000000.0,11621969.0,12915726.58908,1.11132,11.132000000000009,2024
Kalvin Phillips,MF,ENG,29,12000000.0,11988672.0,12688810.4448,1.0584,5.840000000000001,2024
Tim Iroegbunam,MF,ENG,21,9000000.0,9320328.0,12647685.095999997,1.3569999999999998,35.699999999999974,2024
Oliver Skipp,"MF,DF",ENG,24,10000000.0,10309857.0,12470803.027200002,1.2096000000000002,20.960000000000022,2024
Tommy Doyle,MF,ENG,23,10000000.0,10267430.0,12419483.328000002,1.2096000000000002,20.960000000000022,2024
Armando Broja,FW,ALB,23,12000000.0,10061602.0,12413924.054784002,1.2337920000000002,23.379200000000022,2024
Adam Webster,DF,ENG,29,11000000.0,11115829.0,12353243.084280001,1.11132,11.132000000000009,2024
Christian Nørgaard,MF,DEN,30,11000000.0,11354912.0,12018038.8608,1.0584,5.840000000000001,2024
Santiago Bueno,DF,URU,26,10000000.0,9795643.0,11996919.894960003,1.2247200000000003,22.472000000000026,2024
Aaron Hickey,DF,SCO,22,10000000.0,8870285.0,11869505.7642,1.33812,33.812,2024
Youssef Chermiti,FW,POR,20,8000000.0,8060781.0,11819120.14125,1.4662499999999998,46.624999999999986,2024
Ben Johnson,"DF,FW",ENG,24,8000000.0,8696910.0,11761701.084,1.3524,35.24,2024
Emerson,DF,BRA,25,10000000.0,9592410.0,11748016.375200002,1.2247200000000003,22.472000000000026,2024
Andrew Omobamidele,DF,IRL,22,8000000.0,8178955.5,11653784.744174998,1.4248499999999997,42.48499999999997,2024
Jaidon Anthony,FW,ENG,25,9000000.0,9079971.0,11502870.46164,1.26684,26.683999999999997,2024
Adama Traoré,"FW,MF",ESP,28,9000000.0,9378391.0,11330878.222289998,1.2081899999999999,20.81899999999999,2024
David Brooks,"FW,MF",WAL,27,10000000.0,9934940.0,11272659.801120002,1.134648,13.464800000000011,2024
Enes Ünal,"FW,MF",TUR,27,10000000.0,9899926.0,11232931.236048002,1.134648,13.464800000000011,2024
Philip Billing,MF,DEN,28,10000000.0,9983492.0,11105636.5008,1.1124,11.240000000000006,2024
Miguel Almirón,FW,PAR,30,10000000.0,10250641.0,11066264.003088001,1.079568,7.956800000000008,2024
Ryan Christie,MF,SCO,29,10000000.0,10254865.0,10853749.116,1.0584,5.840000000000001,2024
Diego Carlos,DF,BRA,31,9500000.0,9625215.0,10692651.3435,1.1109,11.09,2024
Lucas Digne,DF,FRA,31,10000000.0,10216872.0,10659058.220160002,1.0432800000000002,4.328000000000021,2024
Jefferson Lerma,"MF,DF",COL,30,10000000.0,10025377.0,10610859.0168,1.0584,5.840000000000001,2024
Nélson Semedo,"DF,MF",POR,31,9000000.0,9477418.0,10528463.6562,1.1109,11.09,2024
William Osula,FW,DEN,21,7000000.0,7606312.0,10528200.69168,1.38414,38.413999999999994,2024
Facundo Pellistri,"FW,MF",URU,23,8000000.0,7875495.0,10346510.3112,1.31376,31.376000000000005,2024
Odsonne Édouard,"FW,MF",FRA,26,8000000.0,8111438.0,10275894.11592,1.26684,26.683999999999997,2024
Bernd Leno,GK,GER,32,10000000.0,10334053.0,10267915.060800001,0.9936000000000001,-0.639999999999985,2024
Neal Maupay,FW,FRA,28,8000000.0,8432976.0,10188637.27344,1.2081899999999999,20.81899999999999,2024
James Tarkowski,DF,ENG,32,9000000.0,9031642.0,10033251.0978,1.1109,11.09,2024
Mark Flekken,GK,NED,31,10000000.0,10029910.0,9965718.576000001,0.9936000000000001,-0.639999999999985,2024
Casemiro,"MF,DF",BRA,32,10000000.0,9969221.0,9905417.985600002,0.9936000000000001,-0.639999999999985,2024
Victor Lindelöf,DF,SWE,30,8000000.0,8337933.0,9866693.015549999,1.18335,18.33499999999999,2024
Alphonse Areola,GK,FRA,31,9000000.0,9260788.0,9797913.704,1.058,5.800000000000005,2024
Raheem Sterling,"FW,MF",ENG,30,10000000.0,8879460.0,9585980.87328,1.079568,7.956800000000008,2024
Maxwel Cornet,"MF,FW",CIV,28,8000000.0,8076994.5,9567199.98525,1.1844999999999999,18.44999999999999,2024
Frank Onyeka,MF,NGA,26,7000000.0,7158926.0,8891386.092,1.242,24.2,2024
Chris Wood,FW,NZL,33,10000000.0,9409119.0,8810322.66684,0.9363600000000001,-6.363999999999992,2024
Callum Wilson,FW,ENG,32,8000000.0,8130280.5,8773873.504379999,1.07916,7.91599999999999,2024
Chiedozie Ogbene,"MF,DF",IRL,27,7000000.0,7284469.0,8628453.530499998,1.1844999999999999,18.44999999999999,2024
Wataru Endo,MF,JPN,31,8000000.0,8128009.0,8599433.522,1.058,5.800000000000005,2024
Nick Pope,GK,ENG,32,8000000.0,8070888.5,8539000.033,1.058,5.800000000000005,2024
Luke Thomas,DF,ENG,23,6000000.0,6252540.0,8455935.096,1.3524,35.24,2024
Stefan Ortega,GK,GER,32,8000000.0,7974418.0,8436934.244,1.058,5.800000000000005,2024
James Ward-Prowse,MF,ENG,30,8000000.0,7451798.0,8398176.346,1.127,12.7,2024
Max Aarons,DF,ENG,24,6000000.0,6192120.0,8374223.088,1.3524,35.24,2024
Will Hughes,MF,ENG,29,7000000.0,7385435.5,8323385.8085,1.127,12.7,2024
Ethan Pinnock,DF,JAM,31,7000000.0,7400184.5,8220864.96105,1.1109,11.09,2024
Álex Moreno,DF,ESP,31,7000000.0,7277074.0,8084101.5066,1.1109,11.09,2024
Mario Lemina,MF,GAB,31,7500000.0,7565120.0,8003896.96,1.058,5.800000000000005,2024
Ben Godfrey,DF,ENG,26,6000000.0,6035847.0,7871348.0727,1.3041,30.410000000000004,2024
Chris Mepham,DF,WAL,27,6000000.0,6298647.5,7833785.3619375,1.243725,24.372499999999995,2024
Mads Roerslev,DF,DEN,25,6000000.0,5931535.0,7735314.793500001,1.3041,30.410000000000004,2024
Abdoulaye Doucouré,"FW,MF",MLI,31,7000000.0,7097750.5,7659608.429579999,1.07916,7.91599999999999,2024
Matz Sels,GK,BEL,32,7000000.0,7223357.0,7642311.706,1.058,5.800000000000005,2024
Fabian Schär,DF,SUI,33,7000000.0,7382682.0,7577400.237749998,1.0263749999999998,2.6374999999999815,2024
José Sá,GK,POR,31,7000000.0,7090599.0,7501853.742000001,1.058,5.800000000000005,2024
Sergio Reguilón,DF,ESP,28,6000000.0,5917782.0,7360093.41795,1.243725,24.372499999999995,2024
Ben Davies,DF,WAL,31,6000000.0,6400925.0,7110787.5825,1.1109,11.09,2024
Harrison Reed,MF,ENG,29,6000000.0,6302986.0,7103465.222,1.127,12.7,2024
Solly March,"FW,DF",ENG,30,6000000.0,6141454.5,7059847.60593,1.14954,14.954,2024
Josh Dasilva,"DF,FW",ENG,26,5000000.0,5321924.5,6940321.74045,1.3041,30.410000000000004,2024
David Datro Fofana,FW,CIV,22,6000000.0,4881218.5,6756289.77459,1.38414,38.413999999999994,2024
Dan Burn,DF,ENG,32,6000000.0,6028592.5,6697163.40825,1.1109,11.09,2024
Ross Barkley,MF,ENG,31,6000000.0,6261628.5,6624802.953000001,1.058,5.800000000000005,2024
Danny Ings,FW,ENG,32,6000000.0,6128863.0,6614023.79508,1.07916,7.91599999999999,2024
Sam Johnstone,GK,ENG,31,6000000.0,6101721.0,6455620.818,1.058,5.800000000000005,2024
Lewis Dunk,DF,ENG,33,6000000.0,6169197.0,6331909.570874999,1.0263749999999998,2.6374999999999815,2024
Jorginho,MF,ITA,33,6000000.0,6321822.5,6179581.493749999,0.9774999999999999,-2.2500000000000075,2024
Matt Targett,DF,ENG,29,5000000.0,5198994.0,6152229.549899999,1.18335,18.33499999999999,2024
Issa Kaboré,DF,BFA,23,4000000.0,4474958.0,6051933.199200001,1.3524,35.24,2024
